,,
,,
НОМЕНКЛАТУРА НА МЕРНИТЕ ЕДИНИЦИ,,
,,
,,
Код,Наименование (ENG),Наименование (BG)
XNF,"Unpacked or unpackaged, single unit","Неопакован или непакетиран, един елемент/артикул"
XNG,"Unpacked or unpackaged, multiple units","Неопакован или непакетиран, много елементи/артикули"
XNS,Nest ,"Серия еднакви предмети, които влизат един в друг "
XNT,Net,Мрежа
XNU,"Net, tube, plastic ","Мрежа, тръбна, пластмаса "
XNV,"Net, tube, textile ","Мрежа, тръбна, текстил "
XOA,"Pallet, CHEP 40 cm x 60 cm","Палет, CHEP 40 cm x 60 cm"
XOB,"Pallet, CHEP 80 cm x 120 cm","Палет, CHEP 80 cm x 120 cm"
XOC,"Pallet, CHEP 100 cm x 120 cm","Палет, CHEP 100 cm x 120 cm"
XOD,"Pallet, AS 4068-1993","Палет, AS 4068-1993"
XOE,"Pallet, ISO T11","Палет, ISO T11"
XOF,"Platform, unspecified weight or dimension",Платформа с неспецифицирано тегло или размери
XOK,Block,Блок
XOT,Octabin,Октабин
XOU,"Container, outer","Контейнер, външен"
XP2,Pan,"Контейнер, тип ""Pan"""
XPA,Packet ,Пакет 
XPB,"Pallet, box Combined open-ended box and pallet","Палет, кутия комбинирана кутия с отворени краища и палет"
XPC,Parcel ,Колет 
XPD,"Pallet, modular, collars 80cms * 100cms ","Палет, модулен, обръчи 80 cm * 100 cm "
XPE,"Pallet, modular, collars 80cms * 120cms ","Палет, модулен, обръчи 80 cm * 120 cm "
XPF,Pen ,Кошара 
XPG,Plate,Плоча
XPH,Pitcher,"Кана, тип ""Pitcher"""
XPI,Pipe ,Тръба 
XPJ,Punnet,"Кутия, тип ""Punnet"""
XPK,Package,Пакет/опаковка
XPL,Pail ,Кофа 
XPN,Plank,Талпа
XPO,Pouch,Кесия
XPP,Piece,Парче
XPR,"Receptacle, plastic ","Съд, пластмасов "
XPT,Pot,Гърне
XPU,Tray ,Табла 
XPV,"Pipes, in bundle/bunch/truss ","Тръби, на сноп/връзка/пачка "
XPX,Pallet ,Палет 
XPY,"Plates, in bundle/bunch/truss","Плочи, на сноп/връзка/пачка"
XPZ,"Planks, in bundle/bunch/truss","Талпи, на сноп/връзка/пачка"
XQA,"Drum, steel, non-removable head","Бидон, стоманен, неподвижен капак"
XQB,"Drum, steel, removable head","Бидон, стоманен, подвижен капак"
XQC,"Drum, aluminium, non-removable head","Бидон, алуминиев, неподвижен капак"
XQD,"Drum, aluminium, removable head","Бидон, алуминиев, подвижен капак"
XQF,"Drum, plastic, non-removable head","Бидон, пластмасов, неподвижен капак"
XQG,"Drum, plastic, removable head","Бидон, пластмасов, подвижен капак"
XQH,"Barrel, wooden, bung type","Бидон, дървен, тип бутало"
XQJ,"Barrel, wooden, removable head ","Бидон, дървен, с подвижен капак "
XQK,"Jerrican, steel, non-removable head","Канистра/туба, стоманена с неподвижен капак"
XQL,"Jerrican, steel, removable head","Канистра/туба, стоманена с подвижен капак"
XQM,"Jerrican, plastic, non-removable head","Канистра/туба, пластмасова с неподвижен капак"
XQN,"Jerrican, plastic, removable head","Канистра/туба, пластмасова с подвижен капак"
XQP,"Box, wooden, natural wood, ordinary","Кутия, дървена, естествено дърво, обикновена"
XQQ,"Box, wooden, natural wood, with sift proof walls","Кутия, дървена, естествена дървесина, с непропускливи стени"
XQR,"Box, plastic, expanded ","Кутия, пластмасова, експандирана "
XQS,"Box, plastic, solid","Кутия, пластмасова, твърда"
XRD,Rod,Прът
XRG,Ring ,Пръстен 
XRJ,"Rack, clothing hanger","Стойка, закачалка за дрехи"
XRK,Rack ,Стойка 
XRL,Reel ,Макара 
XRO,Roll ,Топ 
XRZ,"Rods, in bundle/bunch/truss","Пръти, на сноп/връзка/пачка"
XSA,Sack ,Чувал 
XSB,Slab,Сляба
XSC,"Crate, shallow ","Щайга, плитка"
XSD,Spindle,Шпиндел
XSH,Sachet ,Саше 
XSI,Skid ,Скара 
XSL,Slipsheet ,Разделителен лист 
XSM,Sheetmetal ,Прокат 
XSO,Spool ,Шпула 
XSP,"Sheet, plastic wrapping","Лист, пластмасова опаковка"
XSS,"Case, steel","Каса, стомана"
XST,Sheet,Лист
XSU,Suitcase ,Куфар 
XSV,"Envelope, steel","Обвивка, стомана"
XSW,Shrinkwrapped  ,В термосвиваема опаковка  
XSZ,"Sheets, in bundle/bunch/truss","Листове, на сноп/връзка/пачка"
XT1,Tablet,Таблетка
XTB,Tub,цилиндричен съд за съхранение 
XTC,Tea-chest,Сандъче за чай
XTD,"Tube, collapsible","Тръбичка, сгъваема"
XTE,Tyre,Гума
XTG,"Tank container, generic","Цистерна контейнер, общо"
XTI,Tierce,Тиерс
XTK,"Tank, rectangular","Резервоар, правоъгълен"
XTL,"Tub, with lid",цилиндричен съд за съхранение с капак
XTN,Tin,"Кутия, консервна"
XTO,Tun,Голяма бъчва
XTR,Trunk,Пътнически сандък
XTS,Truss,Вързоп
XTT,"Bag, tote",Чанта
XTU,Tube ,Тръба
XTV,"Tube, with nozzle ",Тръбичка с дюза
XTW,"Pallet, triwall","Палет, тип Triwall"
XTY,"Tank, cylindrical","Резервоар, цилиндричен"
XTZ,"Tubes, in bundle/bunch/truss ","Тръби, на снопове/връзка"
XUC,Uncaged ,Свободен 
XUN,Unit,Единица
XVG,"Bulk, gas (at 1031 mbar and 15°C)","Насипно, газ (при 1031 mbar и 15 °C)"
XVI,Vial ,Флакон
XVK,Vanpack ,Опаковка „Vanpack“ 
XVL,"Bulk, liquid ","наливно, течност "
XVO,"Bulk, solid, large particles (“nodules”) ","Насипни, твърди, едри частици („валчести образувания“) "
XVP,Vacuum-packed,Вакуумирана опаковка
XVQ,"Bulk, liquefied gas (at abnormal temperature/pressure) ","Наливно, втечнен газ (при неестествена температура/налягане) "
XVN,Vehicle,Превозно средство
XVR,"Bulk, solid, granular particles (“grains”) ","Насипни, твърди, гранулирани частици („зърна“) "
XVS,"Bulk, scrap metal","Насипно, метален скрап"
XVY,"Bulk, solid, fine particles (“powders”)","Насипни, твърди, фини частици („прах“)"
XWA,Intermediate bulk container,Междинен контейнер за насипни стоки
XWB,Wickerbottle ,Бутилка с външна oплетка 
XWC,"Intermediate bulk container, steel ","IBC контейнер (еврокуб), стоманен "
XWD,"Intermediate bulk container, aluminium ","IBC контейнер (еврокуб), алуминиев "
XWF,"Intermediate bulk container, metal ","IBC контейнер (еврокуб), метален "
XWG,"Intermediate bulk container, steel, pressurised > 10 kpa","IBC контейнер (еврокуб), стоманен, под налягане >10 kpa"
XWH,"Intermediate bulk container, aluminium, pressurised > 10 kpa","IBC контейнер (еврокуб), алуминиев, под налягане >10 kpa"
XWJ,"Intermediate bulk container, metal, pressure 10 kpa ","IBC контейнер (еврокуб), метален, налягане 10 kpa "
XWK,"Intermediate bulk container, steel, liquid ","IBC контейнер (еврокуб), стоманен, течности "
XWL,"Intermediate bulk container, aluminium, liquid ","IBC контейнер (еврокуб), алуминиев, течности "
XWM,"Intermediate bulk container, metal, liquid ","IBC контейнер (еврокуб), метален, течности "
XWN,"Intermediate bulk container, woven plastic, without coat/liner ","IBC контейнер (еврокуб), от полимерна тъкан, без обвивка/хастар "
XWP,"Intermediate bulk container, woven plastic, coated ","IBC контейнер (еврокуб), от полимерна тъкан, с обвивка "
XWQ,"Intermediate bulk container, woven plastic, with liner ","IBC контейнер (еврокуб), от полимерна тъкан, с хастар "
XWR,"Intermediate bulk container, woven plastic, coated and liner ","IBC контейнер (еврокуб), от полимерна тъкан, с обвивка и хастар "
XWS,"Intermediate bulk container, plastic film","IBC контейнер (еврокуб), полимерен филм"
XWT,"Intermediate bulk container, textile with out coat/liner ","IBC контейнер (еврокуб), текстил, с външна обвивка/хастар "
XWU,"Intermediate bulk container, natural wood, with inner liner","IBC контейнер (еврокуб), естествено дърво, с вътрешен хастар"
XWV,"Intermediate bulk container, textile, coated ","IBC контейнер (еврокуб), текстил, с обвивка "
XWW,"Intermediate bulk container, textile, with liner ","IBC контейнер (еврокуб), текстил, с хастар "
XWX,"Intermediate bulk container, textile, coated and liner ","IBC контейнер (еврокуб), текстил, с обвивка и хастар "
XWY,"Intermediate bulk container, plywood, with inner liner ","IBC контейнер (еврокуб), шперплат, с вътрешен хастар "
XWZ,"Intermediate bulk container, reconstituted wood, with inner liner","IBC контейнер (еврокуб), от рециклирана дървесина, с вътрешен хастар"
XXA,"Bag, woven plastic, without inner coat/liner ","Торба, тъкана пластмаса, без вътрешна обвивка/подплата "
XXB,"Bag, woven plastic, sift proof ","Торба, тъкана пластмаса, непропусклива "
XXC,"Bag, woven plastic, water resistant","Торба, тъкана пластмаса, водоустойчива"
XXD,"Bag, plastics film ","Торба, тъкана пластмаса, пластмасов филм "
XXF,"Bag, textile, without inner coat/liner ","Торба, текстилна, без вътрешна обвивка/подплата "
XXG,"Bag, textile, sift proof ","Торба, текстилна, непропусклива "
XXH,"Bag, textile, water resistant","Торба, текстилна, водоустойчива"
XXJ,"Bag, paper, multi-wall ","Торба, хартиена, многослойна "
XXK,"Bag, paper, multi-wall, water resistant","Торба, хартиена, многослойна, водоустойчива"
XYA,"Composite packaging, plastic receptacle in steel drum","Комбинирана опаковка, пластмасов съд в стоманен варел"
XYB,"Composite packaging, plastic receptacle in steel crate box","Комбинирана опаковка, пластмасов съд в стоманена щайга"
XYC,"Composite packaging, plastic receptacle in aluminium drum","Комбинирана опаковка, пластмасов съд в алуминиев варел"
XYD,"Composite packaging, plastic receptacle in aluminium crate","Комбинирана опаковка, пластмасов съд в алуминиева щайга"
XYF,"Composite packaging, plastic receptacle in wooden box","Комбинирана опаковка, пластмасов съд в дървена каса"
XYG,"Composite packaging, plastic receptacle in plywood drum","Комбинирана опаковка, пластмасов съд в шперплатов варел"
XYH,"Composite packaging, plastic receptacle in plywood box ","Комбинирана опаковка, пластмасов съд в шперплатова каса "
XYJ,"Composite packaging, plastic receptacle in fibre drum","Комбинирана опаковка, пластмасов съд във фибровлакнест варел"
XYK,"Composite packaging, plastic receptacle in fibreboard box","Комбинирана опаковка, пластмасов съд в каса от дървесни влакна"
XYL,"Composite packaging, plastic receptacle in plastic drum","Комбинирана опаковка, пластмасов съд в полимерен варел"
XYM,"Composite packaging, plastic receptacle in solid plastic box","Комбинирана опаковка, пластмасов съд в каса от твърд полимер"
XYN,"Composite packaging, glass receptacle in steel drum","Комбинирана опаковка, стъклен съд в стоманен варел"
XYP,"Composite packaging, glass receptacle in steel crate box","Комбинирана опаковка, стъклен съд в стоманена щайга"
XYQ,"Composite packaging, glass receptacle in aluminium drum","Комбинирана опаковка, стъклен съд в алуминиев варел"
XYR,"Composite packaging, glass receptacle in aluminium crate","Комбинирана опаковка, стъклен съд в алуминиева щайга"
XYS,"Composite packaging, glass receptacle in wooden box","Комбинирана опаковка, стъклен съд в дървена каса"
XYT,"Composite packaging, glass receptacle in plywood drum","Комбинирана опаковка, стъклен съд в шперплатов варел"
XYV,"Composite packaging, glass receptacle in wickerwork hamper","Комбинирана опаковка, стъклен съд в плетена кошница"
XYW,"Composite packaging, glass receptacle in fibre drum","Комбинирана опаковка, стъклен съд във фибровлакнест варел"
XYX,"Composite packaging, glass receptacle in fibreboard box ","Комбинирана опаковка, стъклен съд в каса от дървесни влакна"
XYY,"Composite packaging, glass receptacle in expandable plastic pack","Комбинирана опаковка, стъклен съд в разширяем полимерен плик"
XYZ,"Composite packaging, glass receptacle in solid plastic pack","Комбинирана опаковка, стъклен съд в твърд полимерен плик"
XZA,"Intermediate bulk container, paper, multi-wall ","IBC контейнер (еврокуб), хартиен, многостенен "
XZB,"Bag, large ","Торба, голяма "
XZC,"Intermediate bulk container, paper, multi-wall, water resistant","IBC контейнер (еврокуб), хартиен, многостенен, водоустойчив"
XZD,"Intermediate bulk container, rigid plastic, with structural equipment, solids","IBC контейнер (еврокуб), твърд полимер със структурно оборудване, твърди материали"
XZF,"Intermediate bulk container, rigid plastic, freestanding, solids","IBC контейнер (еврокуб), твърд полимер, свободностоящ, твърди материали"
XZG,"Intermediate bulk container, rigid plastic, with structural equipment, pressurised","IBC контейнер (еврокуб), твърд полимер, със структурно оборудване, под налягане"
XZH,"Intermediate bulk container, rigid plastic, freestanding, pressurised","IBC контейнер (еврокуб), твърд полимер, свободностоящ, под налягане"
XZJ,"Intermediate bulk container, rigid plastic, with structural equipment, liquids ","IBC контейнер (еврокуб), твърд полимер, със структурно оборудване, течности "
XZK,"Intermediate bulk container, rigid plastic, freestanding, liquids","IBC контейнер (еврокуб), твърд полимер, свободностоящ, течности"
XZL,"Intermediate bulk container, composite, rigid plastic, solids","IBC контейнер (еврокуб), композитен, твърд полимер, твърди материали"
XZM,"Intermediate bulk container, composite, flexible plastic, solids","IBC контейнер (еврокуб), композитен, гъвкав полимер, твърди материали"
XZN,"Intermediate bulk container, composite, rigid plastic, pressurised ","IBC контейнер (еврокуб), композитен, твърд полимер, под налягане "
XZP,"Intermediate bulk container, composite, flexible plastic, pressurised","IBC контейнер (еврокуб), композитен, гъвкав полимер, под налягане"
XZQ,"Intermediate bulk container, composite, rigid plastic, liquids","IBC контейнер (еврокуб), композитен, твърд полимер, течности"
XZR,"Intermediate bulk container, composite, flexible plastic, liquids ","IBC контейнер (еврокуб), композитен, гъвкав полимер, течности "
XZS,"Intermediate bulk container, composite","IBC контейнер (еврокуб), композитен"
XZT,"Intermediate bulk container, fibreboard","IBC контейнер (еврокуб), дървесни влакна"
XZU,"Intermediate bulk container, flexible","IBC контейнер (еврокуб), гъвкав"
XZV,"Intermediate bulk container, metal, other than steel","IBC контейнер (еврокуб), метал, различен от стомана"
XZW,"Intermediate bulk container, natural wood","IBC контейнер (еврокуб), естествено дърво"
XZX,"Intermediate bulk container, plywood","IBC контейнер (еврокуб), шперплат"
XZY,"Intermediate bulk container, reconstituted wood","IBC контейнер (еврокуб), рециклирана дървесина"
XLTR,"Bulk, litre of liquid petroleum products (at 1031 mbar and 15°C)","Наливно, литър течни нефтопродукти (при 1031 mbar и 15 °C)"
KWY,kilowatt year,киловатгодина
MNJ,Mega Joule per Normalised cubic Metre,Мегаджаул на нормализиран кубичен метър
XO1,Two sided cage on wheels with fixing strap,Двустранен кафез на колела с лента за закрепване
XO2,Trolley," количка, тип ""Trolley"""
XO3,Oneway pallet ISO 0 - 1/2 EURO Pallet,Еднократен палет ISO 0 - 1/2 ЕВРО палет
XO4,Oneway pallet ISO 1 - 1/1 EURO Pallet,Еднократен палет ISO 1 - 1/1 ЕВРО палет
XO5,Oneway pallet ISO 2 - 2/1 EURO Pallet,Еднократен палет ISO 2 - 2/1 ЕВРО палет
XO6,Pallet with exceptional dimensions,Палет с извънгабаритни размери
XO7,Wooden pallet  40 cm x 80 cm,Дървен палет 40 cm x 80 cm
XO8,Plastic pallet SRS 60 cm x 80 cm,Пластмасов палет SRS 60 cm x 80 cm
XO9,Plastic pallet SRS 80 cm x 120 cm,Пластмасов палет SRS 80 cm x 120 cm
XOG,Pallet ISO 0 - 1/2 EURO Pallet,Палет ISO 0 – 1/2 европалет
XOH,Pallet ISO 1 - 1/1 EURO Pallet,Палет ISO 1 – 1/1 европалет
XOI,Pallet ISO 2 – 2/1 EURO Pallet,Палет ISO 2 – 2/1 европалет
XOJ,1/4 EURO Pallet,1/4 европалет
XOL,1/8 EURO Pallet,1/8 европалет
XOM,Synthetic pallet ISO 1,Синтетичен палет ISO 1
XON,Synthetic pallet ISO 2,Синтетичен палет ISO 2
XOP,Wholesaler pallet,Палет за търговия на едро
XOQ,Pallet 80 X 100 cm,Палет 80 X 100 cm
XOR,Pallet 60 X 100 cm,Палет 60 X 100 cm
XOS,Oneway pallet,Еднократен палет
XOV,Returnable pallet,Палет за многократно ползване
XOW,"Large bag, pallet sized","Голяма торба, с размери за палет"
XOX,A wheeled pallet with raised rim (81 x 67 x 135),Палет на колела с повдигнат ръб (81 x 67 x 135)
XOY,A Wheeled pallet with raised rim (81 x 72 x 135),Палет на колела с повдигнат ръб (81 x 72 x 135)
XOZ,Wheeled pallet with raised rim ( 81 x 60 x 16),Палет на колела с повдигнат ръб (81 x 60 x 16)
XP1,CHEP pallet 60 cm x 80 cm ,Палет CHEP 60 cm x 80 cm 
XP3,LPR pallet 60 cm x 80 cm,Палет LPR 60 cm x 80 cm
XP4,LPR pallet 80 cm x 120 cm,Палет LPR 80 cm x 120 cm
XSX,Set,Набор/комплект
